"Occupations in art, culture, recreation and sport","Bachelor's degree","..","815D","510C","705D","550C","800C","1,025C","690C","825D","1,015C","955C","1,000C","910D","1,060D","870C","1,015C","1,090C","1,160C","1,175C","1,045C","1,620C","..","..","985C","945C","1,470C","1,400B","1,470B","1,865C","2,340C","1,345C","1,185C","1,265C","1,320C","1,425D"
"Occupations in art, culture, recreation and sport","University certificate, diploma or degree above the bachelor's level","..","230E","105D","F","120D","110D","140E","105D","100D","F","200E","220E","F","140D","90C","75C","F","105D","80C","110E","160D","..","..","70D","105C","135D","420E","210D","210D","340D","250E","195D","F","255E","135C"
"Sales and service occupations","Minimum level of education required, all levels","150,140E","162,655A","164,250A","143,590A","115,070A","142,840A","147,700A","141,805A","122,670A","165,920A","168,255A","174,990A","144,335A","187,520A","185,680A","191,920A","154,845A","196,040A","197,480A","178,010A","158,110A","..","..","175,760A","141,580A","224,620A","338,115A","324,175A","274,255A","351,690A","339,515A","279,790A","232,855A","261,010A","227,250A"
"Sales and service occupations","No minimum level of education required","..","85,015A","92,215A","81,360A","59,315A","75,470A","75,010A","65,730A","58,895A","88,200A","91,550A","96,800A","72,405A","98,430A","101,375A","101,640A","77,490A","102,890A","103,690A","94,950A","79,780A","..","..","98,750A","70,825A","131,330A","201,120A","197,300A","154,080A","213,195A","204,710A","167,605A","128,075A","150,980A","128,190A"
"Sales and service occupations","High school diploma or equivalent","..","54,620A","53,445A","45,450A","39,465A","48,830A","54,945A","60,490A","47,830A","59,585A","58,165A","60,460A","56,830A","69,445A","64,285A","70,120A","59,770A","72,250A","70,395A","63,660A","55,575A","..","..","58,365A","51,900A","70,915A","101,380A","95,505A","88,225A","102,895A","101,225A","81,155A","75,015A","80,525A","73,135A"
"Sales and service occupations","Non-university certificate or diploma","..","17,665A","14,375B","13,360B","13,225A","14,855A","14,290A","12,635A","13,315B","14,455B","14,440A","13,635A","11,605A","15,705A","16,325A","16,160A","13,990A","17,170A","18,930A","15,310A","18,430A","..","..","14,890B","15,340A","18,065B","29,585A","26,670A","26,660A","30,420B","28,615A","25,785A","24,895A","24,935A","21,345A"
"Sales and service occupations","University certificate or diploma below bachelor's level","..","1,850C","1,210D","1,300C","1,300C","1,330C","1,285D","1,005C","1,080C","1,540C","1,515C","1,540C","1,325D","1,100C","1,335C","1,670C","1,195C","1,270D","1,325C","1,095C","1,320C","..","..","1,440C","1,170C","1,720C","1,960B","1,475C","1,915B","1,840B","1,805C","1,905C","2,225B","1,565C","1,650C"
"Sales and service occupations","Bachelor's degree","..","3,215C","2,915D","2,080C","1,660C","2,185C","2,115C","1,670B","1,495C","2,040C","2,510B","2,425C","2,065B","2,765B","2,325B","2,300B","2,310B","2,430B","3,115B","2,890B","2,960B","..","..","2,160B","2,315B","2,510C","3,800B","3,070B","3,240B","3,180B","3,085B","3,210B","2,505B","2,955B","2,885B"
"Sales and service occupations","University certificate, diploma or degree above the bachelor's level","..","290E","95E","45E","F","170E","55E","F","F","F","F","F","F","80E","F","F","F","25E","20D","105E","F","..","..","155E","25E","F","275E","F","135E","165E","80E","125D","F","55E","F"
"Trades, transport and equipment operators and related occupations","Minimum level of education required, all levels","67,050E","68,630A","61,175A","51,025A","44,765B","52,860B","58,875B","55,690B","60,185B","73,010A","83,060A","79,805A","82,240A","102,160A","105,640A","98,560A","87,995A","105,210A","101,295A","83,960A","85,945A","..","..","92,740A","97,515A","131,520A","156,965A","158,840A","159,260A","188,090A","180,335A","150,375A","140,625A","149,710A","139,585A"
